line_id,reference,hypothesis
m01-049-00,He rose from his breakfast-nook bench,He Joe dow Ly ieatleay-qook Lec
m01-049-01,"and came into the livingroom , where","Od care wio Je Duin fleoue, L Wane."
m01-049-02,Heather and Steve stood aghast at,"Heat F Ancol Neue Yleoo ag fay) ey,"
m01-049-03,"his entrance . He came , almost falling","Vy ac NQuee. Ha COn2, Ohoy) jialeal"
m01-049-04,"forward in an ungainly shuffle , neck",kLQOl i Oe Ungaiaky We fle ; neck
m01-049-05,"thrust out , arms dangling loosely .","Many) ord, Qrey ang Lag fOe ela."
m01-049-06,"Then , abruptly , he drew himself up","| Seu, Abiola, Po Oh ew Qa self Gyo"
m01-049-07,and walked on the very tips of,Grol Caltech O. WR vey ApS of
m01-049-08,his toes . He stretched his arms,YS Joes He \heldea %) Quy
m01-049-10,drawing-in great breaths that,AQ P= 1c G20 L722 Jhy Ak
m01-060-02,"forward . "" Isn't it a glorious thing ! Long awaited","(ormoed. ""Sn > it ‘aX alorious ting | Long aworted"
m01-060-03,"transcendent event , the exalted desire of all",transcendent event | Ihe exalted desire of a Ul
m01-060-04,mankind through all ages ! The Kingdom of the,mankind thtovah all aes | The Ki moclow ot Lhe
m01-060-05,"Mind is at hand ! "" He turned beaming eyes",Mind 1S of howd! He tuened Deanna eyes
m01-060-06,upward and shook his head slowly from,UD War ol and shook his head slooty {fom
m01-079-00,A superfluous precaution for there was no other car,) superfluos piccaukon for toon lau ho otlos Car
m01-079-01,abroad ; and no pedestrian to cross his path nor to wait,ob road duck uo pede stra. to Chop di path tor 19 barf
m01-079-02,at an intersection for the light to change . At his,"at Ch, inerseclc for He iad to dup Uf. Lie"
m01-079-03,apartment he garaged his car and then stood,"Gyartlatat A faapd Les Gar Gud Hla, Stood"
m01-084-00,"Deadly stillness , deadly portent !",Deoaly ai\lness ) deadky pectent
m01-084-01,Steve awakened early and switched on,Steve = CWakened ecrky cand switched @™
m01-084-03,The set lighted-up but gave only a low,The set heal - Up but ewe only a \oW
m01-084-04,buzzing sound . He had just finished,DLa2INg scaurcl. He hool just Vinishedl
m01-084-05,"shaving when it came on , with a flat",Sra. ving when it came omy with a Wet
m01-084-06,"voice repeating : "" This is BBC calling",voice repecting. “This is BEC calling
m01-084-07,"... this is BBC calling ... ""","-..4ns is BRC calling, _—"
m01-090-00,"After what seemed an undue period of repetition , the voice","Vo ited Leistd Win Anite pened f repehPreve , Mle WIE"
m01-090-01,went on to describe the landing of the Thetan colony,wit cu fo Cucrbe Mu Mace etasy of flu lhielun colo
m01-090-02,"in Sussex , in all its obscene details . Then the radio","yy, Letiten, he all ff olictwe the Line CE. Vhew Phe tatio"
m01-090-03,"went dead again , and Steve had no stomach for","wet evel A fiaves , Gud Mfeve had ue the usath, 2"
