line_id,reference,hypothesis
m01-049-00,He rose from his breakfast-nook bench,He rose from his breakfast-nook bench
m01-049-01,"and came into the livingroom , where","and come into the European , where"
m01-049-02,Heather and Steve stood aghast at,Heather and Neue stood again on
m01-049-03,"his entrance . He came , almost falling","his entrance . He came , album falling"
m01-049-04,"forward in an ungainly shuffle , neck","found in an ungainly shuffle , neck"
m01-049-05,"thrust out , arms dangling loosely .","themwell , and , arms changing loosely ."
m01-049-06,"Then , abruptly , he drew himself up","Then , abruptly , he drew himself up"
m01-049-07,and walked on the very tips of,and talked on the very lips of
m01-049-08,his toes . He stretched his arms,his does . He sketched his arms
m01-049-10,drawing-in great breaths that,drawing-in good breaths that
m01-060-02,"forward . "" Isn't it a glorious thing ! Long awaited","forward . "" Sn't it a glorious thing ! I say awaited"
m01-060-03,"transcendent event , the exalted desire of all","transcendent event , the exalted desire of all"
m01-060-04,mankind through all ages ! The Kingdom of the,mankind through all ages ! The Kingdom of the
m01-060-05,"Mind is at hand ! "" He turned beaming eyes","Mind is at hand ! "" He turned becoming eyes"
m01-060-06,upward and shook his head slowly from,upward and shook his head slowly from
m01-079-00,A superfluous precaution for there was no other car,A superfluos precaution for there was no other car
m01-079-01,abroad ; and no pedestrian to cross his path nor to wait,abroad ; and no pedestrian to cross his path nor to wait
m01-079-02,at an intersection for the light to change . At his,at an intersection for the light to change . At his
m01-079-03,apartment he garaged his car and then stood,apartment he garaged his car and then stood
m01-084-00,"Deadly stillness , deadly portent !","Deadly stillness , deadly patient !"
m01-084-01,Steve awakened early and switched on,Steve awakened early and switched on
m01-084-03,The set lighted-up but gave only a low,The set lighted-up but gave only a low
m01-084-04,buzzing sound . He had just finished,buzzing sound . He had just finished
m01-084-05,"shaving when it came on , with a flat","shaving when it came on , with a flat"
m01-084-06,"voice repeating : "" This is BBC calling","voice reporting : "" This is BBC calling"
m01-084-07,"... this is BBC calling ... """," ... . this is BBC calling ... """
m01-090-00,"After what seemed an undue period of repetition , the voice","After what seemed an undue period of repetition , the voice"
m01-090-01,went on to describe the landing of the Thetan colony,went on to describe the landing of the Thetan colony
m01-090-02,"in Sussex , in all its obscene details . Then the radio","in Sussex , in all its obscure details . Then the radio"
m01-090-03,"went dead again , and Steve had no stomach for","went dead again , and Steve had no stomach for"
m01-090-04,"breakfast . It was a beautiful day , as firsts-of-June","breakfast . It was a beautiful day , as first-of-June"
m01-090-05,should be . Steve got out the car and traversed the,should be . Steve got out the car and traversed the
m01-090-06,"same empty streets as he had the night before ,","sainie empty streets as he had the night before ,"
m01-090-07,to keep an appointment with Heather .,to keep an appointment with Heather-
m01-095-00,Coming around the great mass of the Chateau,Coming around the great mass of the Chateau
m01-095-01,"Laurier , he braked to a screeching stop . A","Laurier , he broken to a screeching stop . A"
m01-095-02,flying saucer was tilting and dipping over,flying cancer was sitting and dipping over
m01-095-03,the War Memorial . There was a deep,the war Memorial . There was a deep
m01-095-05,overtone that sang in his ears with an,overtone that sang in his ears with an
m01-095-06,almost painful sharpness . He reversed and,almost painful sharpness . He reversed and
m01-095-07,turned back on McKenzie Avenue .,turned back on Mc Kenzie Avenue .
m01-104-00,""" The Thetans , "" he said , "" are presumably here to",""" The Bretans , "" he said , "" are presumably here to"
m01-104-01,"take charge , as it were , of the minds of the","take charge , as it were , of the minds of the"
m01-104-02,people - who are probably falling all over them-,people - who are probably falling all over them-
m01-104-03,selves in their zeal to get their orders and to carry,selves in these zeal to get their orders and to carry
m01-104-04,"them out . Just what these orders will be , we don't","them out . Just what these orders will be , we don't"
m01-104-05,"know . Now , because of prior hypnosis we have es-","know . Now , because of prior hypnosis we have es-"
m01-104-06,caped Thetan subjugation . This time . But we no,caped Phalan subjugation . This time . But we no
m01-104-07,longer have any immunity .,longer have any immunity .
m01-121-00,There is just a hope that we may uncover,there is just a hope that we may uncover
m01-121-01,"some weakness , and find a way of fighting","some weakness , and find a way of fighting"
m01-121-02,"back at them . "" Heather agreed , and suggested","back at them . "" Heather agreed , and suggested"
m01-121-03,that they use Dan as a specimen demonstra-,that they use Dan as a specimen demonstrated
m01-121-04,ting how the Thetan machinations had been,ting how the Phatan machinations had been
m01-121-05,working out . It occurred to Steve that this may,working out . It occurred to Steve that this may
m01-121-06,not have been entirely an objective suggestion,net have been entirely an objective suggestion
m01-121-07,on her part ; but he thought it a good idea,on her part ; but he thought it a good idea
m01-110-00,There can be little doubt that if the,There can be little doubt that if the
m01-110-01,Thetans discover our mental independence,therbias discovers our mental independence
m01-110-02,they will promptly give us their hypnotic,they will probably give us their hypnotic
m01-110-03,treatment . If we can avoid undue,treatment . If we can avoid undue
m01-110-04,"prominence , it may be that we can","prominence , it may be that we can"
m01-110-05,move about pretty freely without,move about pretty freeless without
m01-110-06,"detection . If we can - well , then we","detactions . It is con-well , them are"
m01-110-08,interests . What those interests,interest . What those interests
m01-110-09,"are , beyond personal security ,","are , beyond personal security ,"
m01-110-10,"I haven't a clue ; but , who knows ,","I haven't a clue ; but , who knows ,"
m01-131-00,"When he finally beckoned to them to enter , the action","When he finally beckoned to them to enter , the action"
m01-131-01,gave the impression of having been thought out and,gave the impression of having been thought out and
m01-131-05,their heads like tennis spectators as he walked up and,their heads like tennis spectators as he walked up and
m01-115-00,""" Now , to summarize what I think our",""" Now , to summarize what I think our"
m01-115-01,"course of action should be . First , to avoid the","course of action should be . First , to avoid the"
m01-115-02,"Thetans like the plague , for they must not","Thetans like the plague , for they must not"
m01-115-03,"find us out ! Second , to tread pretty warily","find us out ! Second , to tread pretty warily"
m01-115-04,"among our own people , finding out just how","among our own people , finding out just how"
m01-115-05,much freedom we can take with safety .,much freedom we can take with safety .
m01-115-06,"And third , to study these damned Thetans .","And third , to study these damned Thetans"
m01-115-07,We must learn all we can about,We must learn all we can about
m01-125-00,So they proceeded to see if the coast,So they proceeded to see if the coast
m01-125-01,was clear . The street was quiet and,was clear . The street was quiet and
m01-125-03,nor sound of flying saucers . So they,now sound of flying success . So they
m01-125-04,ventured forth and made their way on,ventures for the land made their way on
m01-125-05,foot to Dan's house . Dan came,foot to Dam's house . Dan came
m01-125-06,to the door at their ring but neglected,to the door at their ring but neglected
m01-125-07,to offer any greeting . He was deeply,to offer any greeting . He was deeply
m01-125-08,"preoccupied , and it seemed that the","preoccupied , and it seemed that the"
m01-125-09,ringing of a doorbell was to him,ringing of a doorbell was to him
m01-125-10,a new and strange phenomenon .,a new and strange phenomena .
m01-136-00,His whole attitude was a mixture of,His whole attitude was a mixture of
m01-136-01,impatience pending an awaited,impatience penciling an awaited
m01-136-02,communication and of a vague,communication and of a vague
m01-136-03,perplexity respecting his surroundings,perplexity respecting his surroundings
m01-136-04,and the purpose he was to serve .,and the purpose he was to serve
m01-136-06,Heather and Steve tried to make themselves,Heather and Steve tried to make themselves
m01-136-07,at home . Steve switched on Dan's,at home . Steve switched on Dan's
m01-136-08,"powerful , world-wide radio and systematically","powerful , world-wide radio and systematically"
m01-136-09,turned the tuning knob through all the,turned the tuning knob through all the
m01-149-00,"They followed him to a city bus stop on Carling Avenue , where","They followed him to a city bus stop on Carling Avenue , where"
m01-149-01,he waited . The bus stop was a deserted island on an empty street .,he waited . The bus stop was a deserted island on a empty street .
m01-149-02,"But not for long , for soon pedestrians and cars flocked upon","But not for long , for some pedestrians and cars flocked upon"
m01-149-03,the Avenue from its many tributary streets . It might have,the Avenue from its many trilmonary streets . It might have
m01-149-04,"been a normal business-day bustle , except for two anomalies .","been a normal business-day hostile , except for two anomalies ."
m01-149-06,"walked , or drove , or waited as a person possessed of","walked , or drove , or waited as a person possessed of"
m01-149-07,a single all-exclusive purpose .,a single all-exclusive purpose .
m01-160-00,After a long wait a bus appeared and they,After a long wait a bus appeared and they
m01-160-01,"followed the beaming Dan aboard , taking","followed the beaming Dan aboard , taking"
m01-160-02,seats some rows behind him . Steve was,seats some rows behind him . Steve was
m01-160-03,"beginning to find the stereotyped , flattish , happy","beginning to find the stereotyped , flattish , happy"
m01-160-04,faces very disconcerting ; and looking at,faces very disconcerting ; and looking at
m01-160-05,Heather he found a welcome relief in her,Heather he found on welcome relief in her
m01-160-06,relatively long doleful one,relatively long doleful one
m02-048-00,Then he would go back to Plato for a final spell of,Then he would go back to Plato for a final spell of
m02-048-01,real days and would return to New York in late,real days and would return to New York in late
m02-048-03,little sorry if we were not back for Christmas,little sorry if we were not back for Christmas
m02-048-04,"as arranged , but he consoled himself by","as arranged , but he consulted himself by"
m02-048-05,thinking that he and Angelina would have,thinking that he and Angelina would have
m02-048-06,plenty of time together in the future . And,Plenty of time together in the future . And
m02-048-07,"Heaven alone knew when , if ever , he would be","Heaven alone knew when , if ever , he would be"
m02-048-08,"back on Moon again , and able to do","book on Moon again , and able to do"
m02-048-09,research at first hand into matters on which,research at first hand into matters on which
m02-048-10,"the future of everyone , including Angelina , depended ...","the future of everyone , including Angelina , depends ."
m02-052-02,"expenses , with the people to whom Moke had","expenses , with the people to whom Moke had"
m02-052-03,sent him : little people who regarded him as,sent him : little people who regarded him as
m02-052-04,lucky to have descended from such economic altitudes .,lucky to have descended from such economic altitudes .
m02-052-05,Tom Dreyfus had a job on the machines in the Secretariat,Tom Dreyfus had a job on the machines in the secretariat
m02-052-06,( Stamp Department ) while Sally sulked at home .,( Stamp Department ) while Sally sulked at home
m02-055-00,"They had been married for six years , but the","They had been married for six years , but the"
m02-055-01,"salary raise , on the expectation of which they","salary raise , on the expectation of which they"
m02-055-02,"had done so , had not materialised . "" Do you","had done so , had not materialised . "" Do you"
m02-055-03,"know , I had to send back our bedroom","brows , I had to send back our bedroom"
m02-055-04,"furniture in the second year , "" she moaned . She","furniture in the second year , "" she moaned . She"
m02-055-05,"had contacts in political circles , a school-","had contacts in political circles , a school-"
m02-055-06,"friend of hers having married Lester Peron ,","friend of hers having married Lester Peron ,"
m02-055-07,a Mocrat Senator with a seat on the,a Macrat Senator with a seat on the
m02-059-01,"never her husband , a fact he accepted as inevitable . "" I guess","never her husband , a fact he accepted as inevitable . "" I guess"
m02-059-02,"Sally made a mistake about me , "" he said one","Sally made a mistake about me , "" he said one"
m02-059-03,"evening , when he had been left to cook his own meal .","evening , when he had been left to cook his own meal"
m02-059-05,"was a Static Mib , the middle-income-bracket equivalent","was a static Mlb , the middle-income-brocket equivalent"
m02-066-00,"All Aristotle was excited at the time , not by the prospect of the","All Aristotle was excited at the time , not by the prospect of the"
m02-066-01,"U.S. President's visit , but by a great storm in the photo-","U.S. President's visit , but by a great storm in the photos-"
m02-066-02,sphere of the sun . A matter which on Earth would hardly,where of the score . A matter which on Earth could hardly
m02-066-03,penetrate beyond the minds of astronomers was of general,exertimate beyond the minds of astronomers was of general
m02-069-00,One wondered if this greater awareness of the physical cosmos might,One wondered if this greater awareness of the physical cosmos might
m02-069-01,"with time instil the reverence which , on Earth , nature inspires ,","With three instill the resource which , on Earth , native inquiries ,"
m02-069-02,especially when one reflected that the rockets over which Mr. Peron's,expelling when one reflected that the rocket over which Mr. Raon's
m02-069-03,Board presided had it in their power permanently to warp the,Band presided had it in their power permanently to warp the
m02-069-04,"solar system . True enough , such ultimate weapons had not been","what spoken . The enough , such intimate weapons had not been"
m02-069-07,allies being more inferior than formerly to W.C.U. in the,allies being more inferior than to W.C. U. in the
m02-072-00,Lester was not home yet from his formidable,Lester was not home yet from his formidable
m02-072-01,"duties and his wife , in the manner of middle-brow","clatties and his wife , in the manner of middle-brow"
